,Country,Year,Production,Consumption
165,Colombia,1995,38.86,29.74575596696546
166,Colombia,1996,36.55,27.803592416523472
167,Colombia,1997,35.37,26.825436707748786
168,Colombia,1998,35.97,27.458284969743108
169,Colombia,1999,34.67,26.601686419242107
170,Colombia,2000,35.09,27.031508792702517
171,Colombia,2001,35.63,27.770926331048994
172,Colombia,2002,35.94,28.218660946217042
173,Colombia,2003,35.45,28.05977868270068
174,Colombia,2004,36.97,29.285069618688837
175,Colombia,2005,40.33,31.53101120833608
176,Colombia,2006,42.18000000000001,33.586749077351044
177,Colombia,2007,43.40000000000001,34.85233122965474
178,Colombia,2008,44.27,35.889541722956274
179,Colombia,2009,43.68,34.92051748844239
180,Colombia,2010,45.8,36.272406741568176
181,Colombia,2011,46.42,37.886974763206375
182,Colombia,2012,48.31,39.35707883488887
183,Colombia,2013,50.8,41.94721175708187
184,Egypt,1991,15.889999999999995,11.447424962077374
185,Egypt,1992,15.980000000000002,11.487046778097556
186,Egypt,1993,16.02,12.228247081063756
187,Egypt,1994,18.26,12.795553005939825
188,Egypt,1995,18.95,13.141766262995816
189,Egypt,1996,18.56,13.453440118448393
190,Egypt,1997,21.17,15.565233465375496
191,Egypt,1998,21.51,15.462368537177596
192,Egypt,1999,21.96,16.040438139445065
193,Egypt,2000,22.880000000000006,16.47942705703821
194,Egypt,2001,20.04,14.421849440983793
195,Egypt,2002,20.67,14.896618483117239
196,Egypt,2003,20.92,15.167833187054026
197,Egypt,2004,21.73,15.616866498442102
198,Egypt,2005,23.01,16.426276705276013
199,Egypt,2006,26.24,18.63196628903396
200,Egypt,2007,28.410000000000004,20.064085804415747
201,Egypt,2008,25.45,18.743640482718067
202,Egypt,2009,26.88,19.784829997697734
203,Egypt,2010,29.120000000000005,20.58873253479754
204,Egypt,2011,27.880000000000006,20.246186698442237
205,Egypt,2012,29.12,21.717726524003336
206,Egypt,2013,30.47,19.913732876434796
207,Ethiopia,1991,0.0,0.0
208,Ethiopia,1992,0.0,0.0
209,Ethiopia,1993,7.349999999999999,4.6213448012395375
210,Ethiopia,1994,7.1,4.463708392725423
211,Ethiopia,1995,6.839999999999999,4.363593416383012
212,Ethiopia,1996,7.24,4.6069150105769765
213,Ethiopia,1997,7.1,4.4894952249230835
214,Ethiopia,1998,7.02,4.460387997249662
215,Ethiopia,1999,7.14,4.492940063975052
216,Ethiopia,2000,6.96,4.420290291314738
217,Ethiopia,2001,7.289999999999999,4.615375842573666
218,Ethiopia,2002,8.139999999999999,5.1742285289476
219,Ethiopia,2003,7.81,4.928188795356318
220,Ethiopia,2004,7.77,4.937524636956791
221,Ethiopia,2005,7.809999999999999,4.975953690736131
222,Ethiopia,2006,8.179999999999998,5.2784201520835365
223,Ethiopia,2007,8.129999999999999,5.238344424050993
224,Ethiopia,2008,8.229999999999999,5.201276221686637
225,Ethiopia,2009,7.81,4.932821114603278
226,Ethiopia,2010,8.479999999999999,5.387508549674795
227,Ethiopia,2011,7.979999999999999,5.091549287937621
228,Ethiopia,2012,7.16,4.522990857805205
229,Ethiopia,2013,7.06,4.495212851067546
230,Ghana,1991,12.24,4.569646221366589
231,Ghana,1992,12.090000000000002,4.342169132593873
232,Ghana,1993,11.89,3.7492361968512418
233,Ghana,1994,11.13,3.629277559558704
234,Ghana,1995,10.999999999999998,3.647755890314353
235,Ghana,1996,9.95,3.4841439996365624
236,Ghana,1997,10.17,3.5199202212130998
237,Ghana,1998,9.6,3.3646817493005985
238,Ghana,1999,10.49,4.1012965862961215
239,Ghana,2000,10.57,4.207173549627379
240,Ghana,2001,10.05,3.8551244441219454
241,Ghana,2002,10.61,4.624983197039853
242,Ghana,2003,12.31,5.700946546238934
243,Ghana,2004,11.97,5.284904529595993
244,Ghana,2005,12.009999999999998,5.645758130971676
245,Ghana,2006,12.3,6.374849728201075
246,Ghana,2007,13.91,8.229743910255845
247,Ghana,2008,14.23,8.077550017477135
248,Ghana,2009,13.49,7.453245370924839
249,Ghana,2010,15.01,8.538625932601432
250,Ghana,2011,16.909999999999997,9.757506468499914
251,Ghana,2012,16.82,10.379509374990214
252,Ghana,2013,17.43,11.046294530398708
253,Haiti,1991,8.170000000000002,5.353846748552819
254,Haiti,1992,8.53,5.650489984391436
255,Haiti,1993,8.840000000000002,5.935703188282626
256,Haiti,1994,9.03,6.5486109934839565
257,Haiti,1995,9.27,7.41961761219262
258,Haiti,1996,10.43,7.19347690994344
259,Haiti,1997,11.03,7.810699030442738
260,Haiti,1998,12.44,9.074309073824713
261,Haiti,1999,13.9,10.39217552710485
262,Haiti,2000,13.010000000000002,9.294436906377207
263,Haiti,2001,13.71,9.691046136005971
264,Haiti,2002,14.84,10.666980578941773
265,Haiti,2003,15.330000000000002,11.1624051975367
266,Haiti,2004,13.36,9.669729076517848
267,Haiti,2005,14.21,10.674254944993258
268,Haiti,2006,13.61,10.406526184231224
269,Haiti,2007,14.29,10.877936080092411
270,Haiti,2008,14.39,10.43983954877472
271,Haiti,2009,14.58,11.428049467418385
272,Haiti,2010,16.24,13.196501467055745
273,Haiti,2011,18.24,13.888765674147287
274,Haiti,2012,18.54,13.818869589642368
275,Haiti,2013,18.009999999999994,13.461473936488915
276,India,1991,4.22,3.1201313717252344
277,India,1992,4.22,3.122736527897888
278,India,1993,4.23,3.12642097445013
279,India,1994,4.1800000000000015,3.082799725666411
280,India,1995,4.1000000000000005,3.0423313607866262
281,India,1996,4.08,3.0998975452052577
282,India,1997,4.0200000000000005,2.9772586112336663
283,India,1998,4.0600000000000005,3.00914132565795
284,India,1999,4.050000000000002,3.0143289322387927
285,India,2000,3.98,2.9665650142619215
286,India,2001,4.0299999999999985,3.007216638892162
287,India,2002,4.07,3.076841701563861
288,India,2003,4.09,3.0382645471016985
289,India,2004,4.18,3.049503878759123
290,India,2005,4.13,3.0219352161792736
291,India,2006,4.16,3.0881646429105265
292,India,2007,4.35,3.2473736244460314
293,India,2008,4.41,3.288194970093086
294,India,2009,4.44,3.3895407689149204
295,India,2010,4.38,3.299927752584037
296,India,2011,4.1400000000000015,3.1001101201967014
297,India,2012,4.11,3.0092997596909736
298,India,2013,3.69,2.7881383862033324
299,Indonesia,1991,8.64,6.851782257473055
300,Indonesia,1992,9.1,6.765050028733162
301,Indonesia,1993,9.77,7.762847858461052
302,Indonesia,1994,10.349999999999998,8.229662476382504
303,Indonesia,1995,9.87,7.923522723262877
304,Indonesia,1996,10.47,8.42209048610388
305,Indonesia,1997,10.38,8.301346018327974
306,Indonesia,1998,8.489999999999998,6.724162977745843
307,Indonesia,1999,7.96,6.3137185584177615
308,Indonesia,2000,8.37,7.204485686258656
309,Indonesia,2001,8.690000000000001,7.692856506673169
310,Indonesia,2002,9.7,7.955592950221214
311,Indonesia,2003,10.06,8.177921500814195
312,Indonesia,2004,10.53,8.551761933753253
313,Indonesia,2005,10.04,8.157001821398628
314,Indonesia,2006,10.99,8.95020665697246
315,Indonesia,2007,10.87,8.873474511038305
316,Indonesia,2008,11.25,9.186832622955821
317,Indonesia,2009,11.55,9.452365727036794
318,Indonesia,2010,12.32,10.079501887997557
319,Indonesia,2011,12.86,10.530200677469004
320,Indonesia,2012,12.97,10.629909910926893
321,Indonesia,2013,13.54,11.076527447077677
322,Israel,1991,61.78,51.038435022406034
323,Israel,1992,61.15,51.05076368114705
324,Israel,1993,63.67999999999999,53.20469748177264
325,Israel,1994,70.92,58.947694571932146
326,Israel,1995,66.84,55.87419958661722
327,Israel,1996,68.77000000000001,57.2598279740394
328,Israel,1997,69.49,57.50550170779399
329,Israel,1998,68.21000000000001,56.71905901946494
330,Israel,1999,68.31,56.74168174550092
331,Israel,2000,85.31,78.76335905788606
332,Israel,2001,91.8,82.11119775268435
333,Israel,2002,99.16,84.00024358115583
334,Israel,2003,99.88,82.98849271583235
335,Israel,2004,100.88,83.94370986313857
336,Israel,2005,101.03,84.12884936883681
337,Israel,2006,102.6,91.29749927459422
338,Israel,2007,99.23,88.20129581144276
339,Israel,2008,102.1,90.70161168680862
340,Israel,2009,96.09,85.0176787425513
341,Israel,2010,97.58,86.30297411045545
342,Israel,2011,99.09,86.63379754684775
343,Israel,2012,98.28,88.57484102301518
344,Israel,2013,95.15,83.19966435655971
345,Japan,1991,38.47,32.58452838779526
346,Japan,1992,39.82,33.21838476475373
347,Japan,1993,40.13,33.3550642710723
348,Japan,1994,40.63,34.04391994554889
349,Japan,1995,44.06,34.78344712283192
350,Japan,1996,44.32,35.01742951849861
351,Japan,1997,42.28,33.823540208254464
352,Japan,1998,42.36,33.63810983586029
353,Japan,1999,44.16,33.889813709491875
354,Japan,2000,45.26000000000001,34.79254419757377
355,Japan,2001,44.77,33.43217838065889
356,Japan,2002,44.67,34.064614752000985
357,Japan,2003,45.0,33.60383455912788
358,Japan,2004,44.3,33.67955099012142
359,Japan,2005,46.71,33.26810848102314
360,Japan,2006,45.81,32.75731399278837
361,Japan,2007,46.17,32.981026053317144
362,Japan,2008,46.48,33.32169791409655
363,Japan,2009,45.78,33.39929743223704
364,Japan,2010,47.65000000000001,34.136966803370555
365,Japan,2011,48.78,34.086483909106605
366,Japan,2012,49.78,34.7719833688343
367,Japan,2013,49.45,34.664883338921506
368,Kazakhstan,1991,0.0,0.0
369,Kazakhstan,1992,65.0,55.776717875446174
370,Kazakhstan,1993,62.21,57.84872448103039
371,Kazakhstan,1994,59.64,51.76683650211341
372,Kazakhstan,1995,52.23,41.6729719055301
373,Kazakhstan,1996,48.54,37.20294663943911
374,Kazakhstan,1997,43.23,32.25599958617964
375,Kazakhstan,1998,40.07,30.099079033543035
376,Kazakhstan,1999,39.3,29.164694000460862
377,Kazakhstan,2000,40.95,30.418332300356283
378,Kazakhstan,2001,44.56999999999999,32.9523469178112
379,Kazakhstan,2002,46.59,34.92790581789791
380,Kazakhstan,2003,48.78,35.80742067675435
381,Kazakhstan,2004,51.86,39.229865435023214
382,Kazakhstan,2005,55.73,42.47674211658874
383,Kazakhstan,2006,61.21,47.42912772935069
384,Kazakhstan,2007,62.84,48.7571119195899
385,Kazakhstan,2008,63.69,49.599239003340685
386,Kazakhstan,2009,63.35,48.17260888686797
387,Kazakhstan,2010,65.93,49.353120850096474
388,Kazakhstan,2011,69.74,48.946769753617055
389,Kazakhstan,2012,68.82,45.443142271836
390,Kazakhstan,2013,67.85,44.733340935872576
391,Malaysia,1991,41.3,35.327953273760365
392,Malaysia,1992,45.71,39.2945470691104
393,Malaysia,1993,49.48,42.634903425045536
394,Malaysia,1994,51.52,44.355163988500465
395,Malaysia,1995,51.89,44.842625246256134
396,Malaysia,1996,52.02,44.19102125594046
397,Malaysia,1997,51.8,43.58466315085253
398,Malaysia,1998,49.6,42.01156357888607
399,Malaysia,1999,45.55,38.974469159223
400,Malaysia,2000,44.72,38.14907720717743
401,Malaysia,2001,46.65,40.00341123433177
402,Malaysia,2002,47.49,42.090846726372206
403,Malaysia,2003,47.94,41.95031488470578
